id,treatment_capacity_10k_m3_per_day,annual_treatment_volume_10k_m3,cod_influent_mg_l,cod_effluent_mg_l,bod5_influent_mg_l,bod5_effluent_mg_l,ss_influent_mg_l,ss_effluent_mg_l,nh3n_influent_mg_l,nh3n_effluent_mg_l,tn_influent_mg_l,tn_effluent_mg_l,tp_influent_mg_l,tp_effluent_mg_l,annual_electricity_consumption_kwh,treatment_process,advanced_processs,disinfection_processs,load_rate,cod_removal_mg_l,cod_removal_rate,bod5_removal_mg_l,bod5_removal_rate,ss_removal_mg_l,ss_removal_rate,nh3n_removal_mg_l,nh3n_removal_rate,tn_removal_mg_l,tn_removal_rate,tp_removal_mg_l,tp_removal_rate,cod_load_kg,tn_load_kg,tp_load_kg,energy_per_volume,avg_removal_rate
63,0.2,45.7,130.91,11.04,73.02,0.28,63.93,0.82,26.91,0.55,30.73,8.29,2.95,0.12,358110.0,AO_Family,Filtration,Chlorine_Based,0.626027397260274,119.87,0.9156672523107479,72.74,0.9961654341276363,63.11,0.9871734709838886,26.36,0.9795615013006317,22.44,0.7302310445818418,2.83,0.9593220338983051,59825.87,14043.61,1348.1500000000003,0.7836105032822757,0.9280201228671752
64,6.0,1731.4,177.0,19.5,89.0,2.33,106.0,3.5,23.77,0.43,25.99,8.86,2.79,0.17,5300805.0,SBR_Family,Other,Other,0.7905936073059361,157.5,0.8898305084745762,86.67,0.9738202247191011,102.5,0.9669811320754716,23.34,0.9819099705511148,17.13,0.6590996537129665,2.62,0.9390681003584229,3064578.0,449990.86000000004,48306.060000000005,0.3061571560586808,0.901784931648609
65,1.8,407.32,224.22,21.57,48.62,1.75,164.85,3.25,32.81,0.59,38.06,8.88,4.91,0.29,2251108.0,A2O_Family,Other,Chlorine_Based,0.6199695585996956,202.65,0.9037998394434038,46.87,0.9640065816536405,161.6,0.9802851076736427,32.22,0.982017677537336,29.18,0.766684182869154,4.62,0.9409368635437881,913292.904,155025.992,19999.412,0.5526632622999116,0.9229550421201608
66,60.0,18262.0,254.0,32.0,82.8,2.7,150.0,6.0,24.2,0.38,32.5,11.5,5.49,0.22,61525440.0,A2O_Family,Other,Other,0.8338812785388128,222.0,0.8740157480314961,80.1,0.967391304347826,144.0,0.96,23.82,0.984297520661157,21.0,0.6461538461538462,5.2700000000000005,0.9599271402550091,46385480.0,5935150.0,1002583.8,0.33690417259883915,0.8986309265748891
67,15.0,4829.0,248.0,21.1,123.0,1.82,125.0,3.8,31.5,0.23,34.2,9.5,3.6,0.1,16404000.0,A2O_Family,Other,Chlorine_Based,0.8820091324200914,226.9,0.9149193548387097,121.18,0.9852032520325203,121.2,0.9696,31.27,0.9926984126984126,24.700000000000003,0.7222222222222222,3.5,0.9722222222222222,11975920.0,1651518.0000000002,173844.0,0.3396976599710085,0.9261442440023478
68,5.0,1579.76,232.0,14.0,144.0,2.21,105.0,3.16,29.0,0.19,29.8,5.38,3.0,0.1,4110970.0,A2O_Family,Other,Chlorine_Based,0.8656219178082192,218.0,0.9396551724137931,141.79,0.9846527777777777,101.84,0.9699047619047619,28.81,0.993448275862069,24.42,0.8194630872483222,2.9,0.9666666666666667,3665043.2,470768.48,47392.799999999996,0.2602275029118347,0.9456317903122319
69,1.5,473.75,167.0,12.0,112.0,1.9,98.0,2.61,28.04,0.49,29.5,7.98,2.18,0.07,715190.0,SBR_Family,Other,Chlorine_Based,0.865296803652968,155.0,0.9281437125748503,110.1,0.9830357142857142,95.39,0.9733673469387755,27.55,0.9825249643366619,21.52,0.7294915254237287,2.1100000000000003,0.9678899082568808,791162.5,139756.25,10327.75,0.1509635883905013,0.9274088619694352
70,6.0,1968.02,184.0,15.7,108.0,1.06,79.0,4.7,18.1,0.4,22.0,7.01,2.47,0.12,6615952.0,A2O_Family,Filtration,Other,0.8986392694063927,168.3,0.9146739130434783,106.94,0.9901851851851852,74.3,0.9405063291139241,17.700000000000003,0.9779005524861879,14.99,0.6813636363636364,2.35,0.951417004048583,3621156.8,432964.4,48610.094,0.33617300637188646,0.9093411033734992
71,3.0,779.94,185.0,17.1,113.0,1.16,62.0,5.2,22.7,0.43,26.1,7.99,2.58,0.16,3295600.0,AO_Family,Other,Chlorine_Based,0.7122739726027397,167.9,0.9075675675675676,111.84,0.9897345132743363,56.8,0.9161290322580645,22.27,0.981057268722467,18.11,0.6938697318007663,2.42,0.937984496124031,1442889.0000000002,203564.34000000003,20122.452000000005,0.42254532399928196,0.9043904349578721
72,3.0,272.15,105.0,12.9,65.1,0.81,43.0,4.1,11.8,0.27,14.6,3.68,1.37,0.08,1403590.0,A2O_Family,Other,Combined,0.2485388127853881,92.1,0.8771428571428571,64.28999999999999,0.9875576036866359,38.9,0.9046511627906977,11.530000000000001,0.9771186440677967,10.92,0.7479452054794521,1.29,0.9416058394160584,285757.49999999994,39733.899999999994,3728.455,0.5157413191254823,0.9060035520972497
73,30.0,7780.0,319.0,16.0,110.0,1.6,122.0,8.0,39.1,0.13,41.9,9.5,4.24,0.06,38358948.0,AO_Family,Other,Chlorine_Based,0.7105022831050228,303.0,0.9498432601880877,108.4,0.9854545454545455,114.0,0.9344262295081968,38.97,0.9966751918158567,32.4,0.7732696897374701,4.180000000000001,0.9858490566037736,24818200.0,3259820.0,329872.00000000006,0.49304560411311055,0.9375863288846551
74,50.0,14553.0,437.0,66.0,138.0,6.4,142.0,23.0,18.2,1.04,21.93,9.89,2.07,0.05,87597908.0,Other,Other,Chlorine_Based,0.7974246575342466,371.0,0.8489702517162472,131.6,0.9536231884057971,119.0,0.8380281690140845,17.16,0.942857142857143,12.04,0.5490196078431372,2.02,0.9758454106280194,63596610.0,3191472.9,301247.1,0.6019233697519412,0.851390628410738
75,7.0,2363.73,207.0,13.9,102.5,1.35,116.0,7.0,33.11,0.18,37.61,8.81,3.72,0.11,12400815.0,Oxidation_Ditch,Other,Chlorine_Based,0.9251389432485323,193.1,0.9328502415458937,101.15,0.986829268292683,109.0,0.9396551724137931,32.93,0.9945635759589248,28.799999999999997,0.7657537888859345,3.6100000000000003,0.9704301075268817,4892921.1,888998.8529999999,87930.756,0.5246290820017515,0.9316803591040186
76,15.0,5359.46,187.0,17.9,93.5,1.41,110.0,7.0,28.71,0.39,34.54,9.59,3.5,0.13,16296720.0,A2O_Family,Other,Chlorine_Based,0.978896803652968,169.1,0.9042780748663102,92.09,0.9849197860962567,103.0,0.9363636363636364,28.32,0.9864158829676071,24.95,0.7223508975101331,3.37,0.9628571428571429,10022190.2,1851157.4839999997,187581.1,0.3040739178947133,0.9161975701101811
77,12.0,4114.83,198.0,14.7,96.8,1.35,111.0,7.0,28.67,0.23,34.74,7.35,3.86,0.12,14712579.0,Oxidation_Ditch,Other,Chlorine_Based,0.939458904109589,183.3,0.9257575757575758,95.45,0.9860537190082646,104.0,0.9369369369369369,28.44,0.9919776770143006,27.39,0.7884283246977547,3.7399999999999998,0.9689119170984456,8147363.399999999,1429491.942,158832.438,0.3575501053506463,0.9330110250855465
78,4.0,1342.33,167.0,14.3,84.4,1.35,101.0,7.0,33.18,0.18,38.39,6.99,3.89,0.06,5964490.0,Oxidation_Ditch,Other,Chlorine_Based,0.9194041095890411,152.7,0.9143712574850299,83.05000000000001,0.9840047393364929,94.0,0.9306930693069307,33.0,0.9945750452079566,31.4,0.8179213336806459,3.83,0.9845758354755784,2241691.0999999996,515320.48699999996,52216.637,0.4443385754620697,0.937690213415439
79,6.0,2041.45,197.0,22.3,95.8,1.5,110.0,7.0,23.73,0.3,30.88,9.75,2.98,0.09,10273120.0,AO_Family,Other,Chlorine_Based,0.9321689497716895,174.7,0.8868020304568527,94.3,0.9843423799582464,103.0,0.9363636363636364,23.43,0.9873577749683944,21.13,0.6842616580310881,2.89,0.9697986577181209,4021656.5,630399.76,60835.21,0.5032266281319651,0.9081543562493897
80,2.0,620.75,150.0,13.0,78.8,1.3,94.0,7.0,22.09,0.21,27.76,6.55,2.78,0.13,2415495.0,A2O_Family,Other,Chlorine_Based,0.8503424657534246,137.0,0.9133333333333333,77.5,0.983502538071066,87.0,0.925531914893617,21.88,0.990493435943866,21.21,0.7640489913544668,2.65,0.9532374100719425,931125.0,172320.2,17256.85,0.38912525171163914,0.9216912706113819
81,7.0,2481.23,195.0,20.6,95.1,1.47,109.0,7.0,24.6,0.32,31.4,8.19,2.82,0.16,10115680.0,A2O_Family,Other,Chlorine_Based,0.9711272015655578,174.4,0.8943589743589744,93.63,0.9845425867507887,102.0,0.9357798165137615,24.28,0.9869918699186991,23.21,0.7391719745222931,2.6599999999999997,0.9432624113475176,4838398.5,779106.22,69970.686,0.40768812242315305,0.9140179389020058
82,4.0,676.25,166.0,14.4,83.3,1.32,96.0,7.0,25.3,0.27,30.59,6.5,2.96,0.08,3866070.0,Oxidation_Ditch,Filtration,Chlorine_Based,0.4631849315068493,151.6,0.9132530120481928,81.98,0.9841536614645859,89.0,0.9270833333333334,25.03,0.9893280632411068,24.09,0.7875122589081399,2.88,0.9729729729729729,1122575.0,206864.875,20017.0,0.5716924214417745,0.9290505503280553
83,2.0,488.9,184.0,24.1,90.4,1.49,108.0,7.0,19.06,0.44,28.42,6.88,2.67,0.13,1692840.0,AO_Family,Filtration,Chlorine_Based,0.6697260273972603,159.9,0.8690217391304348,88.91000000000001,0.9835176991150443,101.0,0.9351851851851852,18.619999999999997,0.9769150052465897,21.540000000000003,0.7579169598874033,2.54,0.951310861423221,899575.9999999999,138945.38,13053.629999999997,0.3462548578441399,0.9123112416646464
84,13.9,3566.95,254.0,14.0,100.8,4.79,216.0,4.0,27.0,0.23,29.4,9.19,2.38,0.14,13461463.0,A2O_Family,Filtration,Chlorine_Based,0.7030550901744358,240.0,0.9448818897637795,96.00999999999999,0.9524801587301587,212.0,0.9814814814814815,26.77,0.9914814814814815,20.21,0.6874149659863946,2.2399999999999998,0.9411764705882353,9060053.0,1048683.2999999998,84893.40999999999,0.3773942163472995,0.9164860746719219
85,16.0,5264.29,201.17,28.0,80.02,6.54,41.56,3.67,19.94,0.21,25.03,9.52,2.54,0.17,13468980.0,A2O_Family,Filtration,Other,0.9014195205479452,173.17,0.860814236715216,73.47999999999999,0.918270432391902,37.89,0.9116939364773821,19.73,0.9894684052156469,15.510000000000002,0.6196564123052337,2.37,0.9330708661417323,10590172.193,1317651.7870000002,133712.966,0.2558555854635668,0.8721623815411855
86,15.0,4329.07,208.7,5.91,118.0,1.96,165.7,6.06,14.23,0.26,21.29,8.03,2.24,0.14,9616591.0,Other,Other,Chlorine_Based,0.7906977168949771,202.79,0.9716818399616675,116.04,0.9833898305084746,159.64,0.9634278817139409,13.97,0.9817287420941673,13.26,0.6228276186002818,2.1,0.9375,9034769.089999998,921659.0029999999,96971.168,0.22213988223798645,0.910092652146422
87,3.0,793.07,189.87,17.49,93.97,2.89,184.84,4.0,12.55,0.26,17.8,5.76,2.75,0.2,3740000.0,Oxidation_Ditch,Filtration,Other,0.7242648401826485,172.38,0.9078843419181545,91.08,0.9692455038842184,180.84,0.9783596624107336,12.290000000000001,0.9792828685258964,12.040000000000001,0.6764044943820225,2.55,0.9272727272727272,1505802.0090000003,141166.46000000002,21809.425000000003,0.47158510598055653,0.9064082663989588
88,12.0,3396.25,110.89,9.91,49.19,2.19,77.52,2.67,23.26,0.16,28.89,7.4,3.23,0.09,11707044.0,None,None,None,0.7753995433789954,100.98,0.9106321579944089,47.0,0.9554787558446839,74.85,0.9655572755417956,23.1,0.9931212381771282,21.490000000000002,0.7438560055382486,3.14,0.9721362229102167,3766101.625,981176.625,109698.875,0.344705012881855,0.9234636093344135
89,5.0,1510.84,185.1,27.65,76.5,5.7,83.2,3.3,22.75,0.27,37.17,6.93,1.3,0.06,9995006.0,None,None,None,0.8278575342465753,157.45,0.850621285791464,70.8,0.9254901960784313,79.9,0.9603365384615385,22.48,0.9881318681318682,30.240000000000002,0.8135593220338984,1.24,0.9538461538461538,2796564.84,561579.228,19640.92,0.6615529109634376,0.9153308940572257
90,1.0,344.18,242.93,13.7,83.41,4.5,141.77,4.3,24.77,0.04,27.93,5.23,4.61,0.14,2192185.0,SBR_Family,Other,Chlorine_Based,0.942958904109589,229.23000000000002,0.9436051537479933,78.91,0.9460496343364105,137.47,0.9696691824786625,24.73,0.9983851433185306,22.7,0.8127461510920158,4.470000000000001,0.9696312364425164,836116.474,96129.47400000002,15866.698,0.6369298041722354,0.940014416902688
91,3.0,863.97,232.25,6.25,98.41,2.99,61.73,2.69,17.64,0.1,29.76,5.29,1.73,0.21,2618820.0,SBR_Family,None,Other,0.789013698630137,226.0,0.9730893433799784,95.42,0.9696169088507266,59.04,0.9564231329985421,17.54,0.9943310657596371,24.470000000000002,0.822244623655914,1.52,0.8786127167630058,2006570.325,257117.472,14946.681,0.30311469148234316,0.9323862985679674
92,1.0,1736.46,168.31,8.67,71.0,1.96,52.44,4.41,8.52,0.33,13.99,5.82,0.86,0.05,1445974.0,A2O_Family,Other,Chlorine_Based,4.757424657534247,159.64000000000001,0.9484879092151388,69.04,0.9723943661971832,48.03,0.9159038901601831,8.19,0.9612676056338028,8.17,0.583988563259471,0.8099999999999999,0.941860465116279,2922635.8260000004,242930.75400000002,14933.556,0.08327136818584938,0.8873171332636763
93,2.0,673.0,124.39,16.66,65.02,1.0,38.83,3.44,11.75,0.41,18.29,6.86,1.04,0.14,2225595.0,A2O_Family,Other,UV,0.9219178082191781,107.73,0.8660664040517727,64.02,0.9846201168871117,35.39,0.9114087046098378,11.34,0.9651063829787234,11.43,0.6249316566429743,0.9,0.8653846153846154,837144.7,123091.7,6999.200000000001,0.33069762258543833,0.8695863134258394
